Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEB-JUL
 01/04  05 ,15.88333333,48.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  06 ,15.06666667,51.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  07 ,15.46666667,49.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  08 ,14.8,51.83333333,21.60068333,34.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  09 ,16.73333333,46.33333333,88.22575,334.8166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  10 ,18.46666667,40.83333333,137.3751833,558.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  11 ,19.5,37.16666667,178.9885167,658.1166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  12 ,21.35,33,206.4640167,697.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  13 ,22.45,30.5,223.6904667,715.4166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  14 ,23.5,28.33333333,234.6381333,693.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  15 ,24.45,26.66666667,232.59365,640.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  16 ,24.96666667,25.33333333,210.6621667,526.7666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  17 ,25.55,24.16666667,155.2585833,398.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  18 ,25.05,25.33333333,66.99513333,147.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  19 ,23.21666667,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  20 ,20.65,36.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  21 ,19.58333333,39.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  22 ,19.01666667,40.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  23 ,18.66666667,41.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/04  24 ,18.2,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  01 ,17.98333333,43.83333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  02 ,17.11666667,47,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  03 ,16.75,48.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  04 ,16.88333333,48,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  05 ,17.56666667,46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  06 ,17.15,47.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  07 ,16.65,48.33333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  08 ,16.71666667,48.16666667,18.81345,48.0605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  09 ,17.78333333,46.33333333,85.63078333,254.4888333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  10 ,20.83333333,36.33333333,132.7930333,560.2666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  11 ,21.36666667,35.16666667,166.0395833,674.7333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  12 ,22.68333333,33.33333333,182.9459167,743.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  13 ,24,31.16666667,200.8011667,748.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  14 ,25.26666667,29.5,216.3394667,720.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  15 ,25.66666667,28.16666667,226.44785,639.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  16 ,25.83333333,28.16666667,237.15745,369.4833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  17 ,26.61666667,26.33333333,194.5895,327.1166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  18 ,26,26.5,67.1219,162.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  19 ,24.36666667,30.16666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 01/05  20 ,21.73333333,37.66666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
